Key,Id,English(en),Spanish(es),Italian(it),French(fr),Polish(pl),Ukrainian(uk),Russian(ru),German(de),Hungarian(hu),Romanian(ro),Arabic(ar)
"wroclaw_bridges.desc",16699856528596995,"Many bridges cross the Odra River in Wrocław.","Numerosos puentes cruzan el río Óder en Breslavia.","A Breslavia ci sono molti ponti che attraversano il fiume Odra.","De nombreux ponts traversent la rivière Odra à Wrocław.","Wrocław znany jest z licznych mostów.","Через річку Одру у Вроцлаві перетинають багато мостів.","Во Вроцлаве реку Одра пересекает множество мостов.","In Breslau überqueren viele Brücken die Oder.","Wrocławban sok híd szeli át az Odra folyót.","Multe poduri traversează râul Odra din Wrocław.","تعبر العديد من الجسور نهر أودرا في فروتسواف."
"wroclaw_cathedral",8827921501249536,"Wroclaw: Cathedral","Breslavia: Catedral","Breslavia: Cattedrale","Wroclaw : Cathédrale","Wrocław: Katedra","Вроцлав: Собор","Вроцлав: Кафедральный собор","Breslau: Kathedrale","Wroclaw: katedrális","Wroclaw: Catedrala","فروتسواف: الكاتدرائية"
"wroclaw_cathedral.desc",8827921501249537,"A big, important church where people pray. You can climb the tower for a view.","Una iglesia grande e importante donde se reza. Se puede subir a la torre para disfrutar de las vistas.","Una chiesa grande e importante, dove la gente prega. È possibile salire sulla torre per ammirare il panorama.","Une grande et importante église où l'on prie. On peut grimper au clocher pour admirer la vue.","Duży, ważny kościół, w którym ludzie sie modlą, Można wspiąć sie na jego wieżę i podziwiać widoki.","Велика, важлива церква, де люди моляться. Ви можете піднятися на вежу, щоб побачити краєвид.","Большая, важная церковь, где молятся. Можно подняться на башню, чтобы полюбоваться видом.","Eine große, bedeutende Kirche, in der Menschen beten. Sie können auf den Turm steigen und die Aussicht genießen.","Egy nagy, fontos templom, ahol az emberek imádkoznak. Fel lehet mászni a toronyba a kilátásért.","O biserică mare, importantă, unde oamenii se roagă. Puteți urca în turn pentru o vedere.","كنيسة كبيرة ومهمة، يصلي فيها الناس. يمكنك تسلق البرج للاستمتاع بالمنظر."
"wroclaw_centennial_hall",8827921501249538,"Centennial Hall ","Salón del Centenario","Sala del Centenario","Salle du Centenaire","Hala Stulecia","Зал Століття ","Зал Столетия","Jahrhunderthalle","Centenáriumi terem ","Sala Centenarului ","قاعة المئوية"
"wroclaw_centennial_hall.desc",8827921501249539,"The Centennial Hall is a huge building that looks like a big tent with a roof. It’s very tall. Inside, you can see different shows, listen to concerts, or watch sports games.","El Salón del Centenario es un edificio enorme que parece una gran carpa con techo. Es muy alto. En su interior, se pueden ver diferentes espectáculos, escuchar conciertos o ver partidos deportivos.","La Centennial Hall è un enorme edificio che sembra una grande tenda con un tetto. È molto alto. Al suo interno si possono vedere diversi spettacoli, ascoltare concerti o guardare partite sportive.","Le Centennial Hall est un immense bâtiment ressemblant à une grande tente avec un toit. Il est très haut. À l'intérieur, vous pouvez assister à différents spectacles, écouter des concerts ou regarder des matchs.","Hala Stulecia to ogromny budynek przypominający wielki namiot z dachem. Jest bardzo wysoki. Wewnątrz można oglądać różne pokazy, słuchać koncertów i oglądać mecze sportowe.","Зал Століття – величезна будівля, схожа на великий шатер з дахом. Він дуже високий. Всередині можна подивитися різні шоу, послухати концерти або подивитися спортивні ігри.","Зал Столетия — это огромное здание, похожее на большой шатер с крышей. Он очень высокий. Внутри можно посмотреть различные шоу, послушать концерты или посмотреть спортивные матчи.","Die Jahrhunderthalle ist ein riesiges Gebäude, das wie ein großes Zelt mit Dach aussieht. Es ist sehr hoch. Im Inneren können Sie verschiedene Shows sehen, Konzerte hören oder Sportspiele verfolgen.","A Centennial Hall egy hatalmas épület, amely úgy néz ki, mint egy nagy tetős sátor. nagyon magas. Belül különféle műsorokat láthat, koncerteket hallgathat, vagy sportmérkőzéseket nézhet.","Sala Centenarului este o clădire imensă care arată ca un cort mare cu acoperiș. Este foarte înalt. În interior, puteți vedea diferite spectacole, puteți asculta concerte sau puteți urmări jocuri sportive.","قاعة المئوية مبنى ضخم يشبه خيمة كبيرة ذات سقف. إنه شاهق الارتفاع. في داخله، يمكنك مشاهدة عروض متنوعة، والاستماع إلى حفلات موسيقية، أو مشاهدة مباريات رياضية."
"wroclaw_dwarf_statue",8827921501249540,"Wrocław Dwarf Statue","Estatua del Enano de Breslavia","Statua del nano di Breslavia","Statue du nain de Wrocław","Figurka wrocławskiego krasnala","Статуя гнома у Вроцлаві","Статуя Вроцлавского гнома","Breslauer Zwergenstatue","Wrocławi törpe szobor","Statuia piticului din Wrocław","تمثال قزم فروتسواف"
"wroclaw_dwarf_statue.desc",8827921501249541,"A small city statue; dwarfs are Wrocław’s symbol.","Una pequeña estatua urbana; los enanos son el símbolo de Wrocław.","Una piccola statua cittadina; i nani sono il simbolo di Breslavia.","Une petite statue de la ville ; les nains sont le symbole de Wrocław.","Niewielka figurka krasnala-symbolu Wrocławia.","Мала міська статуя; гноми є символом Вроцлава.","Небольшая городская статуя; гномы являются символом Вроцлава.","Eine kleine Stadtstatue; Zwerge sind das Symbol von Breslau.","Egy kis városi szobor; a törpék Wrocław jelképei.","O statuie de oraș mic; piticii sunt simbolul Wrocław.","تمثال صغير للمدينة، والأقزام هم رمز فروتسواف."
"wroclaw_dwarfs",8827921501249542,"Wrocław Dwarfs","Enanos de Breslavia","Nani di Breslavia","Nains de Wrocław","Wrocławskie krasnale","Вроцлавські гноми","Вроцлавские гномы","Breslauer Zwerge","Wrocławi törpék","Piticii din Wrocław","أقزام فروتسواف"
"wroclaw_dwarfs.desc",8827921501249543,"Tiny statues across the city that love to play tricks.","Pequeñas estatuas por toda la ciudad a las que les encanta hacer bromas.","Piccole statue sparse per la città che amano fare scherzi.","De petites statues à travers la ville qui aiment jouer des tours.","Malutkie figurki w całym mieście. Krasnale lubią płatać figle.","Крихітні статуї по всьому місту, які люблять трюкати.","Маленькие статуи по всему городу, которые любят шутить.","Überall in der Stadt gibt es kleine Statuen, die gerne Streiche spielen.","Apró szobrok városszerte, amelyek szeretnek trükközni.","Statui minuscule din oraș, cărora le place să joace feste.","تماثيل صغيرة في جميع أنحاء المدينة تحب لعب الحيل."
"wroclaw_flag",8827921501249544,"Wrocław Flag","Bandera de Breslavia","Bandiera di Breslavia","Drapeau de Wrocław","Flaga Wrocławia","Прапор Вроцлава","Флаг Вроцлава","Flagge von Breslau","Wrocław zászló","Steagul Wrocław","علم فروتسواف"
"wroclaw_flag.desc",8827921501249545,"The city flag that must be found and returned.","La bandera de la ciudad que hay que encontrar y devolver.","La bandiera della città che deve essere ritrovata e restituita.","Le drapeau de la ville qu'il faut retrouver et restituer.","Flaga miasta, którą należy znaleźć i zwrócić.","Прапор міста, який треба знайти і повернути.","Городской флаг, который необходимо найти и вернуть.","Die Stadtflagge, die gefunden und zurückgegeben werden muss.","A város zászlója, amelyet meg kell találni és vissza kell adni.","Steagul orașului care trebuie găsit și returnat.","علم المدينة الذي يجب العثور عليه وإعادته."
"wroclaw_market_square",8827921501249546,"Wrocław Market Square","Plaza del Mercado de Breslavia","Piazza del mercato di Breslavia","Place du marché de Wrocław","Wrocławski Rynek","Ринкова площа Вроцлава","Рыночная площадь Вроцлава","Breslauer Marktplatz","Wrocław piactér","Piața Wrocław","ساحة سوق فروتسواف"
"wroclaw_market_square.desc",8827921501249547,"The main square of the Old Town, full of life.","La plaza principal del Casco Antiguo, llena de vida.","La piazza principale della Città Vecchia, piena di vita.","La place principale de la vieille ville, pleine de vie.","Główny plac Starego Miasta, pełen życia.","Головна площа Старого міста, повна життя.","Главная площадь Старого города, полная жизни.","Der Hauptplatz der Altstadt, voller Leben.","Az Óváros főtere, tele élettel.","Piața principală a Orașului Vechi, plină de viață.","الساحة الرئيسية للمدينة القديمة، مليئة بالحياة."
"wroclaw_multimedia_fountain",8827921501249548,"Wrocław Multimedia Fountain","Fuente multimedia de Breslavia","Fontana multimediale di Breslavia","Fontaine multimédia de Wrocław","Wrocławska Fontanna Multimedialna","Вроцлавський мультимедійний фонтан","Вроцлавский мультимедийный фонтан","Multimedia-Brunnen von Breslau","Wrocław multimédiás szökőkút","Fântâna multimedia din Wrocław","نافورة فروتسواف للوسائط المتعددة"
"wroclaw_multimedia_fountain.desc",8827921501249549,"Water that dances with music and colorful lights.","Agua que baila con música y luces de colores.","Acqua che danza con musica e luci colorate.","De l'eau qui danse avec de la musique et des lumières colorées.","Woda tańcząca w rytm muzyki i kolorowych świateł.","Вода, яка танцює з музикою та різнокольоровими вогнями.","Вода, танцующая под музыку и разноцветные огни.","Wasser, das mit Musik und bunten Lichtern tanzt.","Zenével és színes fényekkel táncoló víz.","Apă care dansează cu muzică și lumini colorate.","مياه ترقص على أنغام الموسيقى والأضواء الملونة."
"wroclaw_old_town_hall",8827921501249550,"Old Town Hall (Wroclaw)","Ayuntamiento de la Ciudad Vieja (Wroclaw)","Vecchio Municipio (Breslavia)","Ancien hôtel de ville (Wroclaw)","Stary Ratusz (Wrocław)","Стара ратуша (Вроцлав)","Старая ратуша (Вроцлав)","Altes Rathaus (Breslau)","Régi Városháza (Wroclaw)","Primăria Veche (Wroclaw)","قاعة المدينة القديمة (فروتسواف)"
"wroclaw_old_town_hall.desc",8827921501249551,"A beautiful Gothic building in the main square. It has a famous clock.","Un hermoso edificio gótico en la plaza principal. Tiene un famoso reloj.","Uno splendido edificio gotico nella piazza principale. Ha un famoso orologio.","Un magnifique édifice gothique sur la place principale. Il possède une horloge célèbre.","Piękny gotycki budynek na Rynku.","Красива готична будівля на головній площі. Має знаменитий годинник.","Прекрасное готическое здание на главной площади. На нём находятся знаменитые часы.","Ein wunderschönes gotisches Gebäude auf dem Hauptplatz. Es hat eine berühmte Uhr.","Egy gyönyörű gótikus épület a főtéren. Híres órája van.","O clădire gotică frumoasă în piața principală. Are un ceas faimos.","مبنى قوطي جميل في الساحة الرئيسية، يتميز بساعة شهيرة."
"wroclaw_sky_tower",8827921501249552,"Wroclaw: Sky Tower","Breslavia: Torre del Cielo","Breslavia: Sky Tower","Wroclaw : Sky Tower","Wrocław: Sky Tower","Вроцлав: Sky Tower","Вроцлав: Sky Tower","Breslau: Sky Tower","Wroclaw: Sky Tower","Wroclaw: Sky Tower","فروتسواف: برج السماء"
"wroclaw_sky_tower.desc",8827921501249553,"One of the tallest buildings in Poland. It has shops and a viewpoint.","Uno de los edificios más altos de Polonia. Tiene tiendas y un mirador.","Uno degli edifici più alti della Polonia. Ospita negozi e un punto panoramico.","L'un des plus hauts bâtiments de Pologne. Il abrite des boutiques et un belvédère.","Jeden z najwyższych budynków w Polsce. Znajdują się w nim sklepy i punkt widokowy.","Одна з найвищих будівель у Польщі. Тут є магазини та оглядовий майданчик.","Одно из самых высоких зданий в Польше. В нём есть магазины и смотровая площадка.","Eines der höchsten Gebäude in Polen. Es verfügt über Geschäfte und einen Aussichtspunkt.","Lengyelország egyik legmagasabb épülete. Vannak üzletek és egy kilátó.","Una dintre cele mai înalte clădiri din Polonia. Are magazine si un punct de belvedere.","أحد أطول المباني في بولندا. يضم متاجر ونقطة مشاهدة."
"wroclaw_zoo",8827921501249554,"Wrocław Zoo","Zoológico de Breslavia","Zoo di Breslavia","Zoo de Wrocław","Ogród Zoologiczny we Wrocławiu","Вроцлавський зоопарк","Вроцлавский зоопарк","Zoo Breslau","Wrocławi Állatkert","Grădina Zoologică din Wrocław","حديقة حيوان فروتسواف"
"wroclaw_zoo.desc",8827921501249555,"A big zoo in Wrocław with many animals to learn about.","Un gran zoológico en Wrocław con muchos animales para conocer.","Un grande zoo a Breslavia con molti animali da scoprire.","Un grand zoo à Wrocław avec de nombreux animaux à découvrir.","Duży ogród zoologiczny we Wrocławiu, w którym można poznać wiele zwierząt.","Великий зоопарк у Вроцлаві з багатьма тваринами, про яких варто дізнатися.","Большой зоопарк во Вроцлаве со множеством животных, о которых можно узнать.","Ein großer Zoo in Breslau mit vielen Tieren, über die man etwas lernen kann.","Egy nagy állatkert Wrocławban, ahol sok érdekes állat található.","O grădină zoologică mare din Wrocław cu multe animale despre care să înveți.","حديقة حيوانات كبيرة في فروتسواف تضم العديد من الحيوانات التي يمكن التعرف عليها."
"wroclaw.desc",8827921497055259,"A city in Poland with rivers, bridges, and history.","Una ciudad de Polonia con ríos, puentes e historia.","Una città in Polonia con fiumi, ponti e storia.","Une ville de Pologne avec des rivières, des ponts et de l'histoire.","Miasto w Polsce z rzekami, mostami i pięknymi zabytkami.","Місто в Польщі з річками, мостами та історією.","Город в Польше с реками, мостами и историей.","Eine Stadt in Polen mit Flüssen, Brücken und Geschichte.","Egy város Lengyelországban folyókkal, hidakkal és történelemmel.","Un oraș din Polonia cu râuri, poduri și istorie.","مدينة في بولندا بها أنهار وجسور وتاريخ."
"wroklaw_map",16699856532791296,"Map of Wroklaw","Mapa de Wroklaw","Mappa di Wroklaw","Carte de Wroklaw","Mapa Wrocławia","Карта Вроцлава","Карта Вроцлава","Karte von Breslau","Wroklaw térképe","Harta Wroklaw","خريطة فروكلاف"
"wroklaw_map.desc",16699856532791297,"A simple map of Wrocław showing the Odra River with its islands and many bridges","Un mapa sencillo de Wrocław que muestra el río Óder con sus islas y numerosos puentes.","Una semplice mappa di Breslavia che mostra il fiume Odra con le sue isole e numerosi ponti","Une carte simple de Wrocław montrant la rivière Odra avec ses îles et ses nombreux ponts","Prosta mapa Wrocławia przedstawiająca rzekę Odrę z wyspami i wieloma mostami","Проста карта Вроцлава, на якій зображена річка Одра з її островами та багатьма мостами","Простая карта Вроцлава с изображением реки Одра с ее островами и множеством мостов.","Eine einfache Karte von Breslau, die die Oder mit ihren Inseln und vielen Brücken zeigt","Wrocław egyszerű térképe, amely az Odra folyót mutatja szigeteivel és számos hídjával","O hartă simplă a orașului Wrocław care arată râul Odra cu insulele sale și multe poduri","خريطة بسيطة لمدينة فروتسواف تُظهر نهر أودرا مع جزره والعديد من الجسور"
"xylophone",8827921501249556,"Xylophone","Xilófono","Xilofono","Xylophone","Ksylofon","Ксилофон","Ксилофон","Xylophon","Xilofon","Xilofon","إكسيليفون"
"xylophone.desc",8827921501249557,"An instrument with bars you hit to make notes.","Un instrumento con barras que se golpean para crear notas.","Uno strumento con delle barre che si percuotono per produrre note.","Un instrument avec des barres sur lesquelles on frappe pour prendre des notes.","Instrument ze sztabkami, w które uderza się, aby uzyskać dźwięki.","Інструмент зі штрихами, по яких ви вдаряєте, щоб робити нотатки.","Инструмент со брусками, ударяя по которым, извлекаются ноты.","Ein Instrument mit Takten, die Sie anschlagen, um Noten zu erzeugen.","Egy hangszer ütőkkel, amellyel jegyzeteket készíthet.","Un instrument cu bare pe care le lovești pentru a nota.","آلة موسيقية تحتوي على أشرطة يمكنك الضغط عليها لتدوين النوتات الموسيقية."
"zebra_crossing",8827921501249558,"Zebra Crossing","Paso de cebra","attraversamento pedonale","Le passage piéton","Zebra","Зебра","Зебра","Zebrastreifen","Zebra átkelőhely","Trecere cu zebră","معبر الحمار الوحشي"
"zebra_crossing.desc",8827921501249559,"White stripes where people cross the street.","Rayas blancas donde la gente cruza la calle.","Strisce bianche dove le persone attraversano la strada.","Un passage piéton est indiqué par des bandes blanches sur la route. Il indique un endroit pour traverser la route en toute sécurité.là où les gens traversent la rue.","Białe pasy tam, gdzie ludzie przechodzą przez ulicę.","Білі смуги там, де люди переходять вулицю.","Белые полосы там, где люди переходят улицу.","Weiße Streifen, wo Menschen die Straße überqueren.","Fehér csíkok, ahol az emberek átkelnek az utcán.","Dungi albe pe unde oamenii traversează strada.","خطوط بيضاء حيث يعبر الناس الشارع."
"zoo_animals",16699856532791298,"Zoo Animals","Animales del zoológico","Animali dello zoo","Animaux du zoo","Zwierzęta z zoo","Тварини зоопарку","Животные зоопарка","Zootiere","Állatkerti állatok","Animale de la Zoo","حيوانات حديقة الحيوان"
"zoo_animals.desc",16699856532791299,"Animals from around the world live here. Come meet them, watch, and learn their stories!","Tarjeta creada automáticamente para el tema 'Animales del zoológico'.","Scheda creata automaticamente per l'argomento 'Animali dello zoo'.","Carte créée automatiquement pour le thème « Animaux du zoo ».","Automatycznie utworzona karta na temat „Zwierzęta w zoo”.","Автоматично створена картка для теми «Тварини зоопарку».","Автоматически созданная карточка по теме «Животные зоопарка».","Automatisch erstellte Karte zum Thema „Zootiere“.","Automatikusan létrehozott kártya az „Állatkerti állatok” témához.","Card creat automat pentru subiectul „Animale din Grădina Zoologică”.","بطاقة تم إنشاؤها تلقائيًا لموضوع ""حيوانات حديقة الحيوانات""."
"zoo_director",8827921501249560,"Zoo Director","Director del zoológico","Direttore dello zoo","Directeur du zoo","Dyrektor zoo","Директор зоопарку","Директор зоопарка","Zoodirektor","Állatkert igazgatója","Directorul Grădinii Zoologice","مدير حديقة الحيوان"
"zoo_director.desc",8827921501249561,"The person who runs the zoo and helps visitors.","La persona que dirige el zoológico y ayuda a los visitantes.","La persona che gestisce lo zoo e aiuta i visitatori.","La personne qui dirige le zoo et aide les visiteurs.","Osoba zarządzająca zoo i pomagająca zwiedzającym.","Людина, яка керує зоопарком і допомагає відвідувачам.","Человек, который управляет зоопарком и помогает посетителям.","Die Person, die den Zoo leitet und den Besuchern hilft.","Az a személy, aki az állatkertet vezeti és segíti a látogatókat.","Persoana care conduce grădina zoologică și ajută vizitatorii.","الشخص الذي يدير حديقة الحيوانات ويساعد الزوار."
"zoo_keeper",8827921505443840,"Zoo Keeper","Guardián del zoológico","Guardiano dello zoo","Gardien de zoo","Opiekun zwierząt w zoo","Доглядач зоопарку","Смотритель зоопарка","Tierpfleger","Állatkert őrzője","Grădina Zoologică","حارس حديقة الحيوان"
"zoo_keeper.desc",8827921505443841,"A person who cares for animals at the zoo.","Una persona que cuida a los animales en el zoológico.","Una persona che si prende cura degli animali allo zoo.","Une personne qui s'occupe des animaux au zoo.","Osoba opiekująca się zwierzętami w zoo.","Людина, яка доглядає за тваринами в зоопарку.","Человек, который заботится о животных в зоопарке.","Eine Person, die sich im Zoo um Tiere kümmert.","Egy személy, aki állatokat gondoz az állatkertben.","O persoană care are grijă de animale la grădina zoologică.","الشخص الذي يهتم بالحيوانات في حديقة الحيوانات."
"zoty_coins",8827921518026752,"Złoty Coins","Monedas de zloty","Monete Złoty","Pièces de złoty","Polskie monety","Злоті монети","Злотые монеты","Złoty-Münzen","Zloty érmék","Monede Złoty","عملات زلوتي"
"zoty_coins.desc",8827921518026753,"Polish money (złoty) shown as coins.","Dinero polaco (zloty) mostrado en forma de monedas.","Denaro polacco (złoty) raffigurato come monete.","Monnaie polonaise (złoty) représentée sous forme de pièces de monnaie.","Polskie pieniądze (złoty) przedstawiane jako monety.","Польські гроші (злоті), зображені як монети.","Польские деньги (злотые) показаны в виде монет.","Polnisches Geld (Złoty) als Münzen dargestellt.","A lengyel pénz (złoty) érmékként látható.","Bani polonezi (złoty) afișați ca monede.","العملة البولندية (زلوتي) تظهر على شكل عملات معدنية."
"zuraw_crane",8827921518026754,"Żuraw Crane","Grúa de Żuraw","Żuraw Crane","Grue Żuraw","Żuraw Gdański","Журавський кран","Журав Крейн","Żuraw-Kranich","Żuraw Crane","Macara Żuraw","رافعة زوراو"
"zuraw_crane.desc",8827921518026755,"An old port crane and city gate on the river.","Una antigua grúa portuaria y puerta de la ciudad en el río.","Una vecchia gru portuale e una porta della città sul fiume.","Une ancienne grue portuaire et une porte de ville sur la rivière.","Stary dźwig portowy i brama miejska nad rzeką.","Старий портовий кран і міські ворота на річці.","Старый портовый кран и городские ворота на реке.","Ein alter Hafenkran und ein Stadttor am Fluss.","Egy régi kikötői daru és városkapu a folyón.","O macara de port veche și poarta orașului pe râu.","رافعة الميناء القديمة وبوابة المدينة على النهر."
"food_sugar",38823301399699456,"Sugar","Azúcar","Zucchero","Sucre","Cukier","Цукор","Сахар","Zucker","Cukor","Zahăr","سكر"
"food_sugar.desc",38823426821971968,"Sugar is made from plants like beets or cane. It gives energy and makes cakes and cookies taste delicious.","El azúcar se obtiene de plantas como la remolacha o la caña de azúcar. Aporta energía y hace que los pasteles y las galletas tengan un sabor delicioso.","Lo zucchero è ricavato da piante come la barbabietola o la canna da zucchero. Fornisce energia e rende deliziosi dolci e biscotti.","Le sucre est fabriqué à partir de plantes comme la betterave ou la canne à sucre. Il apporte de l'énergie et donne un goût délicieux aux gâteaux et aux biscuits.","Cukier wytwarza się z roślin takich jak buraki czy trzcina cukrowa. Dodaje energii i sprawia, że ​​ciasta i ciasteczka smakują wyśmienicie.","Цукор виготовляють з рослин, таких як буряк або тростина. Він дає енергію та робить торти та печиво смачними.","Сахар получают из растений, таких как свекла или тростник. Он дает энергию и придает вкус тортам и печенью.","Zucker wird aus Pflanzen wie Rüben oder Zuckerrohr hergestellt. Er liefert Energie und verleiht Kuchen und Keksen einen köstlichen Geschmack.","A cukrot növényekből, például céklából vagy nádból állítják elő. Energiát ad, és ízletessé teszi a süteményeket és a kekszeket.","Zahărul este obținut din plante precum sfecla sau trestia de zahăr. Oferă energie și face ca prăjiturile și fursecurile să aibă un gust delicios.","يُصنع السكر من نباتات مثل الشمندر أو قصب السكر. وهو يمنح الطاقة ويجعل الكعك والبسكويت لذيذ المذاق."
"person_spicevendor",38835393993367552,"Spice Vendor","Vendedor de especias","Venditore di spezie","Vendeur d'épices","Sprzedawca przypraw","Продавець спецій","Продавец специй","Gewürzhändler","Fűszerárus","Vânzător de condimente","بائع التوابل"
"person_spicevendor.desc",38835455716745216,"Sells small jars of tasty smells like cinnamon, cloves, and ginger. They help make food warm, sweet, and full of flavor.","Vende pequeños frascos con aromas deliciosos como canela, clavo y jengibre. Ayudan a que la comida esté caliente, dulce y llena de sabor.","Vende piccoli barattoli di aromi gustosi come cannella, chiodi di garofano e zenzero. Aiutano a rendere i cibi caldi, dolci e ricchi di sapore.","Vend des petits pots aux arômes délicieux comme la cannelle, le clou de girofle et le gingembre. Ils contribuent à rendre les plats chaleureux, sucrés et savoureux.","Sprzedaje małe słoiczki z pysznymi zapachami, takimi jak cynamon, goździki i imbir. Dzięki nim potrawy stają się ciepłe, słodkie i pełne smaku.","Продає маленькі баночки зі смачними ароматами, такими як кориця, гвоздика та імбир. Вони допомагають зробити їжу теплою, солодкою та насиченою смаком.","Продаются небольшие баночки с ароматными добавками, такими как корица, гвоздика и имбирь. Они помогают сделать еду теплой, сладкой и насыщенной вкусом.","Verkauft kleine Gläser mit leckeren Aromen wie Zimt, Nelken und Ingwer. Sie verleihen Speisen eine warme, süße und geschmackvolle Note.","Kis üvegcsékben árul finom illatokat, például fahéjat, szegfűszeget és gyömbért. Segítenek melegíteni, édessé és ízessé tenni az ételeket.","Vinde borcane mici cu arome gustoase precum scorțișoară, cuișoare și ghimbir. Acestea ajută la încălzirea, dulceața și savoarea mâncării.","يبيع عبوات صغيرة من روائح لذيذة مثل القرفة والقرنفل والزنجبيل. تساعد هذه الروائح على جعل الطعام دافئًا وحلوًا وغنيًا بالنكهة."
"river_sign",68531352775942144,"River Sign","Signo del río","Cartello di un fiume","Panneau de la rivière","Znak rzeki","Річковий знак","Речной указатель","Flusszeichen","Folyójel","Semnul râului","علامة النهر"
"river_sign.desc",68531437567991808,"A blue rectangular sign with white wavy lines that acts as the universal European symbol to show where a river flows.","Un cartel rectangular azul con líneas onduladas blancas que actúa como símbolo europeo universal para mostrar dónde fluye un río.","Un cartello rettangolare blu con linee ondulate bianche che funge da simbolo universale europeo per indicare il punto in cui scorre un fiume.","Un panneau rectangulaire bleu avec des lignes blanches ondulées qui sert de symbole européen universel pour indiquer le cours d'une rivière.","Niebieski, prostokątny znak z białymi falistymi liniami, będący uniwersalnym europejskim symbolem pokazującym, gdzie płynie rzeka.","Синій прямокутний знак з білими хвилястими лініями, який служить універсальним європейським символом, що показує, де протікає річка.","Синий прямоугольный знак с белыми волнистыми линиями, являющийся универсальным европейским символом, указывающим место протекания реки.","Ein blaues rechteckiges Schild mit weißen Wellenlinien, das als universelles europäisches Symbol dient, um anzuzeigen, wo ein Fluss verläuft.","Egy kék téglalap alakú tábla fehér hullámos vonalakkal, amely egyetemes európai szimbólumként szolgál, jelezve a folyók folyását.","Un indicator dreptunghiular albastru cu linii albe ondulate, care acționează ca simbol european universal pentru a arăta pe unde curge un râu.","لافتة مستطيلة زرقاء اللون ذات خطوط بيضاء متموجة، تعمل كرمز أوروبي عالمي للدلالة على مسار النهر."
"dwarf_animal_lover",81421328857423872,"Animal Lover Dwarf","Enano amante de los animales","Nano amante degli animali","Nain amoureux des animaux","Miłośnik zwierząt Krasnolud","Гном-любитель тварин","Карлик-любитель животных","Tierliebhaber Zwerg","Állatbarát törpe","Pitic iubitor de animale","قزم محب للحيوانات"
"dwarf_animal_lover.desc",81421328886784000,"A dwarf statue that loves the zoo and animals.","Una estatua de un enano que adora el zoológico y los animales.","Una statuetta di nano che ama lo zoo e gli animali.","Une statue de nain qui adore le zoo et les animaux.","Figurka krasnala, który uwielbia zoo i zwierzęta.","Статуя карлика, який любить зоопарк і тварин.","Статуя карлика, который обожает зоопарк и животных.","Eine Zwergenstatue, die den Zoo und Tiere liebt.","Egy törpeszobor, amely imádja az állatkertet és az állatokat.","O statuie pitică care iubește grădina zoologică și animalele.","تمثال قزم يعشق حديقة الحيوانات والحيوانات."
"dwarf_architect",81421328886784001,"Architect Dwarf","Arquitecto Enano","Nano architetto","Architecte nain","Architekt Krasnolud","Архітектор-гном","Архитектор-карлик","Architekt Zwerg","Építész törpe","Pitic Arhitect","قزم معماري"
"dwarf_architect.desc",81421328886784002,"A thoughtful dwarf who loves shapes, buildings, and clever design.","Un enano reflexivo al que le encantan las formas, los edificios y el diseño ingenioso.","Un nano riflessivo che ama le forme, gli edifici e il design intelligente.","Un nain réfléchi qui aime les formes, les bâtiments et les conceptions ingénieuses.","Myślący krasnolud, który kocha kształty, budynki i pomysłowe projekty.","Вдумливий гном, який любить форми, будівлі та розумний дизайн.","Вдумчивый гном, который обожает формы, здания и оригинальный дизайн.","Ein nachdenklicher Zwerg, der Formen, Gebäude und cleveres Design liebt.","Egy gondolkodó törpe, aki szereti a formákat, az épületeket és az ötletes terveket.","Un pitic grijuliu care iubește formele, clădirile și designul ingenios.","قزمٌ متأملٌ يعشق الأشكال والمباني والتصميم الذكي."
"dwarf_bishop",81421328886784003,"Bishop Dwarf","Obispo Enano","Vescovo Nano","Évêque Nain","Biskup Krasnolud","Єпископ Дворф","Епископ Карлик","Bischof Zwerg","Törpe püspök","Episcopul Pitic","أسقف قزم"
"dwarf_bishop.desc",81421328886784004,"A dwarf statue who asks a church question.","Una estatua de un enano que hace una pregunta en la iglesia.","Una statua di nano che pone una domanda a una chiesa.","Une statue de nain qui pose une question sur l'église.","Posąg karła zadającego pytanie kościelne.","Статуя карлика, яка ставить церковне питання.","Статуя карлика, задающего вопрос церкви.","Eine Zwergenstatue, die eine Frage an die Kirche stellt.","Egy törpeszobor, aki egyházi kérdést tesz fel.","O statuie pitică care pune o întrebare bisericească.","تمثال قزم يطرح سؤالاً كنسياً."
"dwarf_conductor",81421328886784005,"Conductor Dwarf","Enano conductor","Direttore d'orchestra nano","Nain chef d'orchestre","Dyrygent Krasnolud","Диригент-гном","Дирижер Гном","Dirigent Zwerg","Karmester törpe","Piticul dirijor","قائد أوركسترا قزم"
"dwarf_conductor.desc",81421328886784006,"A lively dwarf who loves water, lights, and music.","Un enano muy animado al que le encanta el agua, las luces y la música.","Un nano vivace che ama l'acqua, le luci e la musica.","Un nain plein de vie qui aime l'eau, les lumières et la musique.","Żywiołowy krasnolud, który kocha wodę, światła i muzykę.","Жвавий гном, який любить воду, світло та музику.","Жизнерадостный гном, обожающий воду, свет и музыку.","Ein lebhafter Zwerg, der Wasser, Licht und Musik liebt.","Egy eleven törpe, aki szereti a vizet, a fényeket és a zenét.","Un pitic vioi care iubește apa, luminile și muzica.","قزم مرح يحب الماء والأضواء والموسيقى."
